980.714,1047.96,-6.05054
335,0.53,45.51,1.74
336,-1.57,42.1,-2.05
337,-0.65,13.16,1.57
338,-4.07,47.56,-2.04
339,0.71,14.67,-0.54
340,-0.72,15.08,4
341,-2.66,76.63,-1.95
342,-0.16,4.49,-2.11
343,0.24,24.29,-0.75
344,-0.46,7.98,-2.26
345,-0.03,10.64,-2.15
346,-3.95,130.76,-0.29
347,1.04,18.61,-0.25
348,-0.6,12.93,-2.04
349,0.07,15.92,-2.06
350,-10.02,126.34,0.44
351,0.24,23.96,-0.18
352,-0.76,18.42,-2.02
353,0.74,14.34,-1.37
354,-3.75,123.86,2.6
355,1.55,26.01,0.24
356,-1.03,27.69,-1.99
357,0.21,22.78,-1.91
358,0.71,47.28,0.71
359,-2.58,30.27,-2.01
360,0.73,14.22,-0.86
361,-0.66,14.62,0.81
362,0.09,16.74,0.64
363,-1.43,42.01,-2.04
364,-0.63,13.95,1.67
365,0.22,23.56,1.86
366,-3.91,47.49,-2.04
367,0.73,14.19,-0.52
368,-0.65,14.54,3.85
369,-2.39,75.7,-1.92
370,-0.14,4.49,-2.11
371,-7.43,97.35,-1.91
372,0.29,22.93,-0.71
373,-0.43,7.98,-2.26
374,0,10.64,-2.15
375,-3.45,129.33,-0.28
376,1.09,18.41,-0.25
377,-0.56,12.91,-2.04
378,0.13,15.91,-2.05
379,-9.89,130.72,0.46
380,0.28,22.49,-0.18
381,-0.69,18.41,-2.02
382,0.76,13.88,-1.33
383,-3.32,123.92,2.6
384,1.64,26.01,0.24
385,-0.93,27.67,-1.99
386,0.27,21.71,-1.82
387,-2.48,30.28,-2
388,0.75,13.75,-0.83
389,-1.42,47.7,2.66
390,0.84,45.54,1.74
391,-1.28,41.97,-2.04
392,-0.68,17.66,2.12
393,0.32,24.12,1.91
394,-3.73,47.37,-2.03
395,0.74,13.69,-0.51
396,0.05,12.92,2.31
397,-2.12,75.51,-1.91
398,-0.13,4.49,-2.11
399,-7.1,97.57,-1.91
400,0.34,21.59,-0.66
401,-0.41,7.98,-2.26
402,0.04,10.64,-2.15
403,-3,129.3,-0.28
404,1.14,18.25,-0.25
405,-0.51,12.91,-2.04
406,0.18,15.89,-2.05
407,-9.43,130.69,0.46
408,0.35,21.94,-0.17
409,-0.63,18.4,-2.02
410,0.78,13.46,-1.29
411,-2.87,123.13,2.58
412,1.73,26.02,0.24
413,-0.83,27.66,-1.99
414,0.32,20.92,-1.74
415,1.04,47.25,0.71
416,-2.37,30.26,-2
417,0.77,13.4,-0.81
418,-1.26,47.92,2.68
419,1.04,47.35,1.82
420,-1.13,41.91,-2.04
421,-0.54,14.07,1.68
422,-3.57,47.34,-2.03
423,0.77,13.41,-0.5
424,-0.55,14.46,3.83
425,-0.11,4.49,-2.11
426,-0.38,7.98,-2.26
427,0.08,10.64,-2.15
428,-2.41,121.08,-0.26
429,-0.46,12.9,-2.04
430,0.24,15.86,-2.05
431,-8.98,130.73,0.46
432,1.12,44.54,-0.34
433,-0.56,18.37,-2.02
434,0.81,13.29,-1.27
435,1.82,26.02,0.24
436,-0.73,27.66,-1.99
437,1.12,44.46,0.67
438,-2.26,30.22,-2
439,0.81,13.28,-0.8
440,1.16,45.86,1.76
441,-0.98,41.84,-2.04
442,0.39,20.79,-1.13
443,-3.4,47.3,-2.03
444,0.81,13.23,-0.49
445,-0.5,14.41,3.82
446,0.17,13.59,2.44
447,-1.56,73.92,-1.88
448,-0.1,4.48,-2.11
449,0.65,26.14,-0.81
450,-0.35,7.98,-2.26
451,0.11,10.64,-2.15
452,1.21,17.59,-0.24
453,-0.42,12.89,-2.03
454,0.29,15.83,-2.04
455,-8.52,130.75,0.46
456,1.9,62.59,-0.49
457,-0.5,18.35,-2.02
458,1.91,26.02,0.24
459,-0.64,27.65,-1.99
460,-2.15,30.22,-2
461,0.84,13.1,-0.79
462,-0.89,45.25,2.52
463,-0.83,41.8,-2.03
464,0.5,21.78,-1.19
465,-0.45,14.74,1.77
466,0.91,33.94,2.69
467,-3.23,47.32,-2.03
468,0.84,13.1,-0.48
469,0.21,13.4,2.4
470,-1.23,69.02,-1.75
471,-0.08,4.49,-2.11
472,0.73,26.14,-0.81
473,-0.33,7.98,-2.26
474,0.15,10.64,-2.15
475,-1,68.58,-0.15
476,-0.38,12.88,-2.03
477,0.33,15.53,-2.01
478,-8.1,130.69,0.46
479,2.1,62.59,-0.49
480,-0.44,18.33,-2.01
481,0.98,14.26,-1.36
482,-0.98,66.36,1.39
483,2,26.04,0.24
484,-0.55,27.62,-1.99
485,0.47,19.43,-1.62
486,2.09,62.52,0.95
487,-2.06,30.22,-2
488,-0.74,45.21,2.52
489,1.36,42.97,1.65
490,-0.71,41.74,-2.03
491,0.56,21.8,-1.19
492,-3.08,47.24,-2.02
493,0.87,12.97,-0.48
494,0.26,13.59,2.44
495,-0.89,58.16,-1.48
496,-0.07,4.48,-2.11
497,-0.3,7.97,-2.25
498,0.18,10.63,-2.15
499,-0.77,68.58,-0.15
500,1.35,17.84,-0.24
501,-0.33,12.87,-2.03
502,0.35,14.92,-1.93
503,-7.65,130.71,0.46
504,2.31,62.59,-0.49
505,-0.38,18.31,-2.01
506,1.03,14.23,-1.36
507,-0.75,66.15,1.38
508,2.09,26.04,0.24
509,-0.45,27.59,-1.99
510,0.54,19.43,-1.62
511,-7.67,131.13,3.52
512,2.31,62.5,0.95
513,-1.95,30.17,-1.99
514,-0.59,45.46,2.53
515,1.51,42.91,1.65
516,-0.57,41.73,-2.03
517,0.64,21.8,-1.19
518,-0.36,14.78,1.77
519,-2.91,47.24,-2.02
520,0.91,12.87,-0.48
521,0.3,13.58,2.44
522,-0.69,58.3,-1.48
523,-0.05,4.49,-2.11
524,0.54,18,-0.56
525,-0.27,7.98,-2.25
526,0.22,10.63,-2.15
527,-0.51,68.57,-0.15
528,1.42,17.93,-0.24
529,-0.29,12.87,-2.03
530,0.39,14.46,-1.87
531,-7.17,130.68,0.46
532,2.55,62.59,-0.49
