-159.508,751.063,-12.5664
308,-6.53052,15.7813,-0.96505
310,-7.43054,15.7665,0.679473
311,-8.31154,15.6823,-0.816199
312,-7.41102,15.7518,-0.890496
315,-9.2621,15.6528,-0.732071
316,-6.52293,15.7299,-0.575167
317,-9.87778,18.892,5.60525
318,-10.2977,22.5962,4.46515
319,-8.30397,15.6809,-0.416148
320,-2.32585,3.56051,-1.82069
321,-9.18461,15.6313,-0.321663
322,-7.36344,15.7604,-0.490169
323,-3.58399,5.80156,-1.81079
324,-4.70961,9.37326,-2.0256
325,-8.2864,15.7595,-0.00576684
326,-6.4653,15.7286,-0.184812
327,-6.32784,11.6346,-1.99781
328,-6.8453,14.555,-2.00112
329,-9.24694,15.74,0.0783342
330,-7.36585,15.779,-0.0901108
331,-8.14544,15.5056,-1.84581
332,-6.4072,15.6131,-1.53488
333,-8.22887,15.6381,0.384183
334,-6.45756,15.7173,0.185206
335,-8.18926,15.5835,-1.2058
336,-7.27831,15.5832,-1.36027
337,-9.18952,15.6386,0.488351
338,-7.33816,15.7077,0.279826
339,-9.1197,15.5441,-1.14158
340,-6.47052,15.7812,-0.964685
342,-7.37053,15.7764,0.679871
343,-8.25153,15.7022,-0.815768
344,-7.35102,15.7517,-0.890132
347,-9.17212,15.6327,-0.731592
348,-6.46292,15.7499,-0.574735
349,-9.83778,18.9619,5.61573
350,-10.2376,22.6761,4.47579
351,-8.24404,15.6808,-0.405784
352,-2.31584,3.57051,-1.8206
353,-9.12465,15.6513,-0.311231
354,-7.27348,15.7103,-0.489791
355,-3.55406,5.7915,-1.80064
356,-4.68959,9.39324,-2.02541
357,-8.23638,15.7795,-0.00539575
358,-6.42529,15.7485,-0.184502
359,-6.28783,11.6545,-1.9975
360,-6.79535,14.5649,-1.99078
361,-9.17696,15.72,0.0786918
362,-7.31584,15.789,-0.0897734
363,-8.0855,15.5055,-1.83545
364,-6.36727,15.613,-1.52464
365,-8.16887,15.6381,0.384548
366,-6.40755,15.7273,0.185543
367,-8.13926,15.5834,-1.2055
368,-7.2283,15.5932,-1.35993
369,-9.09956,15.5885,0.488729
370,-7.26818,15.6877,0.280184
371,-9.05977,15.544,-1.13122
372,-6.41054,15.7612,-0.964388
374,-7.32052,15.7864,0.680208
375,-8.19147,15.7022,-0.825403
376,-7.29101,15.7617,-0.889734
379,-9.11214,15.6127,-0.731295
380,-6.4129,15.7698,-0.574364
381,-9.78779,19.0318,5.62627
382,-10.1976,22.756,4.4863
383,-8.18404,15.6808,-0.40542
384,-2.28529,3.57081,-1.81028
385,-9.04407,15.6415,-0.310516
386,-7.21288,15.7406,-0.489226
387,-3.52347,5.80182,-1.80026
388,-4.63907,9.40352,-2.02495
389,-8.15577,15.7798,-0.00472965
390,-6.34468,15.7588,-0.183959
391,-6.23733,11.6648,-1.99699
392,-6.73489,14.5752,-1.99028
393,-9.08633,15.7303,0.0795355
394,-7.24524,15.7893,-0.0892479
395,-8.02505,15.5058,-1.8349
396,-6.28678,15.6133,-1.52413
397,-8.10819,15.6784,0.385227
398,-6.33692,15.7276,0.185992
399,-8.05876,15.5737,-1.20486
400,-7.14779,15.6034,-1.35931
401,-9.03887,15.6288,0.489492
402,-7.20753,15.698,0.280683
403,-8.97925,15.5442,-1.13047
404,-6.33003,15.7414,-0.963948
406,-7.24984,15.7967,0.680767
407,-8.12104,15.7124,-0.804765
408,-7.22047,15.7619,-0.889209
411,-9.03157,15.6329,-0.73048
412,-6.34234,15.7601,-0.57395
413,-9.74677,19.1123,5.64697
414,-10.1267,22.8464,4.49711
415,-8.11345,15.6911,-0.404781
416,-2.28523,3.58084,-1.82025
417,-8.97406,15.6615,-0.31003
418,-7.15287,15.7605,-0.4888
419,-3.50346,5.8118,-1.80011
420,-4.61905,9.42351,-2.02477
421,-8.08579,15.7597,-0.0043774
