-156.489,751.847,-12.5651
264,-7.51843,13.6872,-1.89923
265,-10.5,15.6786,0.131886
266,-8.5305,15.7565,-0.0639901
267,-9.3063,15.3893,-1.84204
268,-7.52516,15.5769,-1.53723
269,-9.42914,15.617,0.438584
270,-7.5697,15.7151,0.213062
271,-9.39415,15.5487,-1.1916
272,-8.44465,15.5678,-1.36445
273,-10.4288,15.578,0.561567
274,-8.48941,15.676,0.325803
275,-10.394,15.5198,-1.12861
276,-7.54333,15.6363,-0.957106
278,-8.51809,15.7456,0.735965
279,-9.47279,15.6783,-0.791226
280,-8.52299,15.7473,-0.884027
283,-10.4526,15.6094,-0.698334
284,-7.59199,15.7459,-0.556842
285,-12.026,20.3639,6.28145
286,-12.4064,23.7258,4.86612
287,-9.46154,15.6579,-0.371279
288,-2.48985,3.39129,-1.76524
289,-10.3913,15.6189,-0.278508
290,-8.45177,15.7268,-0.474261
291,-3.86736,5.54287,-1.75882
292,-5.18407,8.96462,-1.97125
293,-9.41025,15.7074,0.0386197
294,-7.52081,15.7254,-0.157077
295,-6.85157,10.9965,-1.91407
296,-7.47845,13.6972,-1.90934
297,-10.43,15.6885,0.131685
298,-8.47047,15.7764,-0.0641508
299,-9.24629,15.3992,-1.84221
300,-7.45516,15.5768,-1.53744
301,-9.36913,15.6269,0.438413
302,-7.49972,15.695,0.212829
303,-9.32416,15.5386,-1.19182
304,-8.37465,15.5677,-1.36467
305,-10.3588,15.578,0.561356
306,-8.41942,15.666,0.325581
307,-10.324,15.5197,-1.11882
308,-7.48332,15.6462,-0.957278
310,-8.45807,15.7656,0.735804
311,-9.41275,15.7183,-0.791366
312,-8.45297,15.7373,-0.874249
315,-10.3926,15.6193,-0.698505
316,-7.52201,15.7358,-0.557064
317,-11.9759,20.4338,6.29137
318,-12.3463,23.8158,4.87603
319,-9.39153,15.6678,-0.371481
320,-2.46984,3.40126,-1.76529
321,-10.3113,15.6188,-0.26875
322,-8.37178,15.6967,-0.464535
323,-3.84733,5.54284,-1.74888
324,-5.15406,8.97459,-1.97133
325,-9.36021,15.7374,0.0384998
326,-7.47076,15.7654,-0.157186
327,-6.80156,11.0064,-1.91421
328,-7.4184,13.7071,-1.89951
329,-10.37,15.7184,0.131534
330,-8.40049,15.7663,-0.064373
331,-9.18628,15.4091,-1.84238
332,-7.39514,15.5867,-1.53761
333,-9.27916,15.5968,0.438109
334,-7.42975,15.6749,0.212597
335,-9.25412,15.5485,-1.18203
336,-8.30465,15.5676,-1.36488
337,-10.2888,15.5879,0.561154
338,-8.35941,15.6759,0.32541
339,-10.264,15.5196,-1.119
340,-7.43332,15.6462,-0.957429
342,-8.38809,15.7455,0.735572
343,-9.34277,15.6982,-0.791598
344,-8.39295,15.7572,-0.87441
347,-10.3126,15.6292,-0.698737
348,-7.47196,15.7758,-0.557174
349,-11.9258,20.5038,6.30129
350,-12.2862,23.9057,4.88594
351,-9.32153,15.6677,-0.371692
352,-2.46984,3.43127,-1.77526
353,-10.2513,15.6387,-0.26891
354,-8.31174,15.7267,-0.464685
355,-3.81734,5.53281,-1.74898
356,-5.11405,8.98454,-1.97144
357,-9.29022,15.7273,0.0382775
358,-7.39081,15.7253,-0.15747
359,-6.76152,11.0364,-1.9143
360,-7.36838,13.7271,-1.89964
361,-10.29,15.6883,0.131261
362,-8.32051,15.7463,-0.064636
363,-9.12626,15.429,-1.84254
